/home/nochi/vault/projects/ThoughtVectors/thoughtvec/.venv/lib/python3.12/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
thinker params: 15.13M (codec d=384, frozen=True)
step      50 | cos 0.0108 | thought 2.5647 dec_ce 4.4599 | 4.7 it/s
step     100 | cos 0.0134 | thought 2.5599 dec_ce 2.8381 | 5.3 it/s
step     150 | cos 0.0411 | thought 2.4862 dec_ce 2.481 | 5.2 it/s
step     200 | cos 0.0883 | thought 2.3608 dec_ce 2.3861 | 5.2 it/s
step     250 | cos 0.1375 | thought 2.2401 dec_ce 2.2165 | 5.3 it/s
step     300 | cos 0.1763 | thought 2.098 dec_ce 2.2622 | 5.5 it/s
step     350 | cos 0.2047 | thought 2.012 dec_ce 2.0386 | 5.5 it/s
step     400 | cos 0.2271 | thought 2.0415 dec_ce 2.2824 | 5.2 it/s
step     450 | cos 0.2426 | thought 1.9904 dec_ce 2.2152 | 5.4 it/s
step     500 | cos 0.2565 | thought 1.9558 dec_ce 2.1745 | 5.2 it/s
step     550 | cos 0.2591 | thought 1.9397 dec_ce 2.1698 | 5.1 it/s
step     600 | cos 0.2695 | thought 1.8802 dec_ce 2.2685 | 5.5 it/s
step     650 | cos 0.2737 | thought 1.9245 dec_ce 2.1928 | 5.5 it/s
step     700 | cos 0.2763 | thought 1.8522 dec_ce 2.2658 | 5.5 it/s
step     750 | cos 0.2791 | thought 1.9004 dec_ce 2.0571 | 5.2 it/s
step     800 | cos 0.2781 | thought 1.9467 dec_ce 2.3492 | 5.4 it/s
step     850 | cos 0.2813 | thought 1.8896 dec_ce 2.2707 | 5.2 it/s
step     900 | cos 0.2845 | thought 1.9145 dec_ce 2.2771 | 5.4 it/s
step     950 | cos 0.2898 | thought 1.8222 dec_ce 2.1173 | 5.3 it/s
step    1000 | cos 0.2993 | thought 1.8472 dec_ce 2.2817 | 5.3 it/s
step    1050 | cos 0.3089 | thought 1.7606 dec_ce 2.0718 | 5.2 it/s
step    1100 | cos 0.3283 | thought 1.7857 dec_ce 2.1636 | 5.3 it/s
step    1150 | cos 0.3415 | thought 1.7426 dec_ce 2.1909 | 5.2 it/s
step    1200 | cos 0.3460 | thought 1.6704 dec_ce 2.0347 | 5.3 it/s
step    1250 | cos 0.3533 | thought 1.7473 dec_ce 2.1884 | 5.1 it/s
step    1300 | cos 0.3604 | thought 1.6338 dec_ce 2.1092 | 5.3 it/s
step    1350 | cos 0.3658 | thought 1.62 dec_ce 2.0057 | 5.4 it/s
step    1400 | cos 0.3775 | thought 1.5249 dec_ce 1.9644 | 5.2 it/s
