/home/nochi/vault/projects/ThoughtVectors/thoughtvec/.venv/lib/python3.12/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
thinker params: 32.03M (codec d=384, frozen=True)
step      50 | cos 0.0246 | thought 1.8819 dec_ce 2.4202 | 3.1 it/s
step     100 | cos 0.1009 | thought 1.7134 dec_ce 2.2805 | 3.2 it/s
step     150 | cos 0.1752 | thought 1.5761 dec_ce 2.0991 | 3.3 it/s
step     200 | cos 0.2161 | thought 1.5115 dec_ce 2.2441 | 3.2 it/s
step     250 | cos 0.2406 | thought 1.5051 dec_ce 2.1909 | 3.3 it/s
step     300 | cos 0.2548 | thought 1.493 dec_ce 2.2471 | 3.2 it/s
step     350 | cos 0.2574 | thought 1.4847 dec_ce 2.1763 | 3.3 it/s
step     400 | cos 0.2599 | thought 1.4428 dec_ce 2.2453 | 3.3 it/s
step     450 | cos 0.2732 | thought 1.3566 dec_ce 2.0659 | 3.3 it/s
step     500 | cos 0.3030 | thought 1.3213 dec_ce 2.0457 | 3.3 it/s
step     550 | cos 0.3183 | thought 1.2814 dec_ce 2.0313 | 3.3 it/s
step     600 | cos 0.3312 | thought 1.2949 dec_ce 2.1636 | 3.3 it/s
step     650 | cos 0.3369 | thought 1.2179 dec_ce 1.9883 | 3.3 it/s
step     700 | cos 0.3415 | thought 1.251 dec_ce 2.057 | 3.2 it/s
step     750 | cos 0.3458 | thought 1.1996 dec_ce 2.018 | 3.3 it/s
step     800 | cos 0.3567 | thought 1.1656 dec_ce 2.0967 | 3.3 it/s
step     850 | cos 0.3620 | thought 1.1693 dec_ce 2.0857 | 3.3 it/s
step     900 | cos 0.3769 | thought 1.1665 dec_ce 2.1842 | 3.3 it/s
step     950 | cos 0.3876 | thought 1.1024 dec_ce 1.9707 | 3.3 it/s
step    1000 | cos 0.4047 | thought 1.0541 dec_ce 2.0357 | 3.3 it/s
step    1050 | cos 0.4159 | thought 1.0764 dec_ce 2.0465 | 3.2 it/s
step    1100 | cos 0.4276 | thought 0.9846 dec_ce 1.9426 | 3.3 it/s
step    1150 | cos 0.4365 | thought 0.9958 dec_ce 2.0437 | 3.4 it/s
step    1200 | cos 0.4406 | thought 0.9796 dec_ce 1.9667 | 3.3 it/s
step    1250 | cos 0.4415 | thought 1.0035 dec_ce 2.1055 | 3.3 it/s
step    1300 | cos 0.4464 | thought 0.9671 dec_ce 1.9484 | 3.2 it/s
step    1350 | cos 0.4502 | thought 0.9638 dec_ce 2.0083 | 3.3 it/s
step    1400 | cos 0.4498 | thought 0.9612 dec_ce 2.0472 | 3.3 it/s
step    1450 | cos 0.4516 | thought 0.8957 dec_ce 1.9481 | 3.3 it/s
step    1500 | cos 0.4502 | thought 0.9161 dec_ce 2.1074 | 3.3 it/s
step    1550 | cos 0.4533 | thought 0.9233 dec_ce 2.1453 | 3.2 it/s
step    1600 | cos 0.4542 | thought 0.8901 dec_ce 2.0424 | 3.2 it/s
step    1650 | cos 0.4551 | thought 0.874 dec_ce 1.9214 | 3.3 it/s
step    1700 | cos 0.4567 | thought 0.8989 dec_ce 2.0471 | 3.3 it/s
step    1750 | cos 0.4556 | thought 0.929 dec_ce 2.0653 | 3.3 it/s
step    1800 | cos 0.4600 | thought 0.8598 dec_ce 2.01 | 3.3 it/s
step    1850 | cos 0.4588 | thought 0.8384 dec_ce 1.8484 | 3.2 it/s
step    1900 | cos 0.4558 | thought 0.8954 dec_ce 2.1093 | 3.3 it/s
step    1950 | cos 0.4598 | thought 0.8589 dec_ce 2.0031 | 3.2 it/s
step    2000 | cos 0.4610 | thought 0.8573 dec_ce 1.9872 | 3.3 it/s
step    2000 | VAL cos 0.4614 | VAL dec CE 3.9910
step    2050 | cos 0.4612 | thought 0.7985 dec_ce 1.9075 | 2.7 it/s
step    2100 | cos 0.4615 | thought 0.8197 dec_ce 2.0534 | 3.2 it/s
step    2150 | cos 0.4613 | thought 0.8229 dec_ce 1.9948 | 3.4 it/s
step    2200 | cos 0.4605 | thought 0.8172 dec_ce 1.9629 | 3.3 it/s
step    2250 | cos 0.4632 | thought 0.8064 dec_ce 2.0839 | 3.3 it/s
step    2300 | cos 0.4601 | thought 0.7978 dec_ce 1.9936 | 3.3 it/s
step    2350 | cos 0.4631 | thought 0.7973 dec_ce 2.0029 | 3.3 it/s
step    2400 | cos 0.4673 | thought 0.7621 dec_ce 1.9182 | 3.3 it/s
step    2450 | cos 0.4654 | thought 0.7634 dec_ce 1.9035 | 3.2 it/s
step    2500 | cos 0.4693 | thought 0.7558 dec_ce 1.9599 | 3.3 it/s
step    2550 | cos 0.4697 | thought 0.7866 dec_ce 1.9611 | 3.2 it/s
step    2600 | cos 0.4702 | thought 0.7776 dec_ce 2.0433 | 3.3 it/s
step    2650 | cos 0.4729 | thought 0.7638 dec_ce 1.9945 | 3.3 it/s
step    2700 | cos 0.4708 | thought 0.7836 dec_ce 2.0477 | 3.4 it/s
step    2750 | cos 0.4720 | thought 0.775 dec_ce 2.0414 | 3.3 it/s
step    2800 | cos 0.4703 | thought 0.7638 dec_ce 2.0464 | 3.3 it/s
step    2850 | cos 0.4692 | thought 0.7502 dec_ce 1.9939 | 3.3 it/s
step    2900 | cos 0.4712 | thought 0.7811 dec_ce 2.084 | 3.3 it/s
step    2950 | cos 0.4674 | thought 0.7881 dec_ce 2.1448 | 3.3 it/s
step    3000 | cos 0.4732 | thought 0.7657 dec_ce 2.0343 | 3.3 it/s
step    3050 | cos 0.4741 | thought 0.781 dec_ce 2.0122 | 3.3 it/s
step    3100 | cos 0.4699 | thought 0.7917 dec_ce 2.0072 | 3.3 it/s
step    3150 | cos 0.4693 | thought 0.7717 dec_ce 1.9466 | 3.3 it/s
step    3200 | cos 0.4752 | thought 0.7634 dec_ce 1.9243 | 3.3 it/s
step    3250 | cos 0.4754 | thought 0.7612 dec_ce 2.0185 | 3.4 it/s
step    3300 | cos 0.4712 | thought 0.786 dec_ce 2.1131 | 3.3 it/s
step    3350 | cos 0.4759 | thought 0.7664 dec_ce 1.9704 | 3.3 it/s
step    3400 | cos 0.4764 | thought 0.7543 dec_ce 2.0078 | 3.3 it/s
step    3450 | cos 0.4770 | thought 0.7786 dec_ce 1.9656 | 3.3 it/s
step    3500 | cos 0.4733 | thought 0.7706 dec_ce 2.0259 | 3.3 it/s
step    3550 | cos 0.4740 | thought 0.7869 dec_ce 1.9791 | 3.2 it/s
step    3600 | cos 0.4750 | thought 0.7647 dec_ce 1.9891 | 3.3 it/s
step    3650 | cos 0.4743 | thought 0.7683 dec_ce 2.0443 | 3.3 it/s
step    3700 | cos 0.4736 | thought 0.7781 dec_ce 1.9722 | 3.3 it/s
step    3750 | cos 0.4767 | thought 0.777 dec_ce 2.0814 | 3.3 it/s
step    3800 | cos 0.4746 | thought 0.7498 dec_ce 2.0003 | 3.3 it/s
step    3850 | cos 0.4720 | thought 0.7611 dec_ce 1.919 | 3.4 it/s
step    3900 | cos 0.4766 | thought 0.7702 dec_ce 2.0592 | 3.3 it/s
step    3950 | cos 0.4752 | thought 0.7591 dec_ce 1.9897 | 3.4 it/s
