/home/nochi/vault/projects/ThoughtVectors/thoughtvec/.venv/lib/python3.12/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
thinker params: 32.07M (codec d=384, frozen=True)
step      50 | cos 0.0255 | thought 2.4894 dec_ce 2.359 | 3.0 it/s
step     100 | cos 0.1129 | thought 2.2506 dec_ce 2.2933 | 3.1 it/s
step     150 | cos 0.1955 | thought 2.0465 dec_ce 2.1154 | 3.2 it/s
step     200 | cos 0.2380 | thought 1.9693 dec_ce 2.2736 | 3.1 it/s
step     250 | cos 0.2578 | thought 1.9693 dec_ce 2.2154 | 3.1 it/s
step     300 | cos 0.2693 | thought 1.9534 dec_ce 2.272 | 3.1 it/s
step     350 | cos 0.2713 | thought 1.9415 dec_ce 2.2067 | 3.2 it/s
step     400 | cos 0.2761 | thought 1.8714 dec_ce 2.2654 | 3.1 it/s
step     450 | cos 0.3055 | thought 1.7363 dec_ce 2.0701 | 3.1 it/s
step     500 | cos 0.3314 | thought 1.7183 dec_ce 2.0468 | 3.2 it/s
step     550 | cos 0.3416 | thought 1.6554 dec_ce 2.0523 | 3.0 it/s
step     600 | cos 0.3619 | thought 1.6355 dec_ce 2.196 | 3.2 it/s
step     650 | cos 0.3819 | thought 1.5087 dec_ce 2.011 | 3.2 it/s
step     700 | cos 0.3996 | thought 1.5134 dec_ce 2.0733 | 3.1 it/s
step     750 | cos 0.4226 | thought 1.4109 dec_ce 2.0354 | 3.1 it/s
step     800 | cos 0.4447 | thought 1.3451 dec_ce 2.1073 | 3.1 it/s
step     850 | cos 0.4548 | thought 1.3541 dec_ce 2.0936 | 3.2 it/s
step     900 | cos 0.4680 | thought 1.3698 dec_ce 2.2072 | 3.1 it/s
step     950 | cos 0.4714 | thought 1.3125 dec_ce 1.985 | 3.2 it/s
step    1000 | cos 0.4782 | thought 1.2611 dec_ce 2.0317 | 3.1 it/s
step    1050 | cos 0.4819 | thought 1.3115 dec_ce 2.0543 | 3.1 it/s
step    1100 | cos 0.4894 | thought 1.1845 dec_ce 1.9113 | 3.2 it/s
step    1150 | cos 0.4950 | thought 1.2122 dec_ce 2.027 | 3.3 it/s
step    1200 | cos 0.4963 | thought 1.193 dec_ce 1.9664 | 3.2 it/s
step    1250 | cos 0.4968 | thought 1.2261 dec_ce 2.0797 | 3.2 it/s
step    1300 | cos 0.5028 | thought 1.1875 dec_ce 1.9441 | 3.1 it/s
step    1350 | cos 0.5051 | thought 1.1817 dec_ce 2.0032 | 3.2 it/s
step    1400 | cos 0.5039 | thought 1.1652 dec_ce 2.0122 | 3.2 it/s
step    1450 | cos 0.5056 | thought 1.0823 dec_ce 1.935 | 3.2 it/s
step    1500 | cos 0.5048 | thought 1.1167 dec_ce 2.0913 | 3.2 it/s
step    1550 | cos 0.5074 | thought 1.1366 dec_ce 2.133 | 3.1 it/s
step    1600 | cos 0.5080 | thought 1.0812 dec_ce 2.0273 | 3.1 it/s
step    1650 | cos 0.5091 | thought 1.0585 dec_ce 1.9103 | 3.2 it/s
step    1700 | cos 0.5111 | thought 1.1054 dec_ce 2.0391 | 3.2 it/s
step    1750 | cos 0.5110 | thought 1.1388 dec_ce 2.0494 | 3.2 it/s
step    1800 | cos 0.5144 | thought 1.0564 dec_ce 2.0005 | 3.1 it/s
step    1850 | cos 0.5142 | thought 1.0121 dec_ce 1.8271 | 3.1 it/s
step    1900 | cos 0.5088 | thought 1.1013 dec_ce 2.0952 | 3.2 it/s
step    1950 | cos 0.5141 | thought 1.0501 dec_ce 2.0043 | 3.1 it/s
step    2000 | cos 0.5157 | thought 1.048 dec_ce 1.9799 | 3.2 it/s
step    2000 | VAL cos 0.5169 | VAL dec CE 3.9451
step    2050 | cos 0.5170 | thought 0.9615 dec_ce 1.8773 | 2.6 it/s
step    2100 | cos 0.5156 | thought 1.0033 dec_ce 2.0432 | 3.1 it/s
step    2150 | cos 0.5169 | thought 0.9855 dec_ce 1.973 | 3.3 it/s
step    2200 | cos 0.5173 | thought 0.9885 dec_ce 1.9423 | 3.2 it/s
step    2250 | cos 0.5190 | thought 0.995 dec_ce 2.0726 | 3.2 it/s
step    2300 | cos 0.5155 | thought 0.9717 dec_ce 1.9648 | 3.2 it/s
step    2350 | cos 0.5188 | thought 0.9912 dec_ce 1.9912 | 3.2 it/s
step    2400 | cos 0.5214 | thought 0.952 dec_ce 1.9095 | 3.2 it/s
step    2450 | cos 0.5182 | thought 0.9565 dec_ce 1.8892 | 3.1 it/s
step    2500 | cos 0.5226 | thought 0.9422 dec_ce 1.9395 | 3.2 it/s
step    2550 | cos 0.5209 | thought 0.9847 dec_ce 1.9521 | 3.1 it/s
step    2600 | cos 0.5235 | thought 0.9722 dec_ce 2.0115 | 3.2 it/s
step    2650 | cos 0.5220 | thought 0.9517 dec_ce 1.9513 | 3.2 it/s
step    2700 | cos 0.5212 | thought 0.9804 dec_ce 2.0332 | 3.3 it/s
step    2750 | cos 0.5253 | thought 0.9727 dec_ce 2.0223 | 3.2 it/s
step    2800 | cos 0.5222 | thought 0.9478 dec_ce 2.0299 | 3.2 it/s
step    2850 | cos 0.5212 | thought 0.9296 dec_ce 1.9698 | 3.2 it/s
step    2900 | cos 0.5257 | thought 0.9541 dec_ce 2.0606 | 3.2 it/s
step    2950 | cos 0.5217 | thought 0.985 dec_ce 2.1386 | 3.2 it/s
step    3000 | cos 0.5265 | thought 0.9495 dec_ce 2.0138 | 3.1 it/s
step    3050 | cos 0.5262 | thought 0.9584 dec_ce 1.9959 | 3.2 it/s
step    3100 | cos 0.5229 | thought 0.991 dec_ce 1.993 | 3.2 it/s
step    3150 | cos 0.5233 | thought 0.9517 dec_ce 1.9275 | 3.2 it/s
step    3200 | cos 0.5296 | thought 0.9422 dec_ce 1.8946 | 3.3 it/s
step    3250 | cos 0.5292 | thought 0.9427 dec_ce 1.9927 | 3.3 it/s
step    3300 | cos 0.5253 | thought 0.9793 dec_ce 2.1056 | 3.2 it/s
step    3350 | cos 0.5296 | thought 0.9275 dec_ce 1.9326 | 3.2 it/s
step    3400 | cos 0.5294 | thought 0.9346 dec_ce 1.9864 | 3.2 it/s
step    3450 | cos 0.5310 | thought 0.9518 dec_ce 1.9437 | 3.2 it/s
step    3500 | cos 0.5258 | thought 0.9469 dec_ce 2.0039 | 3.2 it/s
step    3550 | cos 0.5274 | thought 0.9551 dec_ce 1.9494 | 3.1 it/s
step    3600 | cos 0.5300 | thought 0.9513 dec_ce 1.9697 | 3.2 it/s
step    3650 | cos 0.5289 | thought 0.9379 dec_ce 2.0183 | 3.2 it/s
step    3700 | cos 0.5268 | thought 0.938 dec_ce 1.9417 | 3.2 it/s
step    3750 | cos 0.5291 | thought 0.9525 dec_ce 2.0561 | 3.2 it/s
step    3800 | cos 0.5286 | thought 0.9345 dec_ce 1.9852 | 3.2 it/s
step    3850 | cos 0.5258 | thought 0.934 dec_ce 1.8968 | 3.2 it/s
step    3900 | cos 0.5310 | thought 0.9352 dec_ce 2.0191 | 3.2 it/s
step    3950 | cos 0.5295 | thought 0.9188 dec_ce 1.966 | 3.3 it/s
step    4000 | cos 0.5295 | thought 0.9464 dec_ce 1.939 | 3.2 it/s
step    4000 | VAL cos 0.5310 | VAL dec CE 3.8971
step    4050 | cos 0.5306 | thought 0.923 dec_ce 1.8978 | 2.6 it/s
step    4100 | cos 0.5288 | thought 0.9143 dec_ce 1.9206 | 3.2 it/s
step    4150 | cos 0.5303 | thought 0.949 dec_ce 2.0328 | 3.2 it/s
step    4200 | cos 0.5338 | thought 0.9384 dec_ce 1.8874 | 3.2 it/s
step    4250 | cos 0.5270 | thought 0.9248 dec_ce 1.9433 | 3.1 it/s
step    4300 | cos 0.5308 | thought 0.9405 dec_ce 2.0062 | 3.2 it/s
step    4350 | cos 0.5317 | thought 0.921 dec_ce 1.9759 | 3.2 it/s
step    4400 | cos 0.5328 | thought 0.9577 dec_ce 1.9944 | 3.2 it/s
step    4450 | cos 0.5310 | thought 0.9698 dec_ce 2.017 | 3.2 it/s
step    4500 | cos 0.5292 | thought 0.9215 dec_ce 1.8579 | 3.2 it/s
step    4550 | cos 0.5308 | thought 0.9221 dec_ce 1.8646 | 3.1 it/s
step    4600 | cos 0.5345 | thought 0.9573 dec_ce 1.9829 | 3.1 it/s
step    4650 | cos 0.5311 | thought 0.9387 dec_ce 1.9072 | 3.2 it/s
step    4700 | cos 0.5329 | thought 0.9321 dec_ce 2.04 | 3.1 it/s
step    4750 | cos 0.5323 | thought 0.9193 dec_ce 2.0057 | 3.2 it/s
step    4800 | cos 0.5305 | thought 0.9306 dec_ce 1.9923 | 3.1 it/s
step    4850 | cos 0.5297 | thought 0.9198 dec_ce 1.9229 | 3.2 it/s
step    4900 | cos 0.5288 | thought 0.9549 dec_ce 1.9287 | 3.2 it/s
step    4950 | cos 0.5334 | thought 0.9259 dec_ce 1.9006 | 3.2 it/s
step    5000 | cos 0.5348 | thought 0.898 dec_ce 1.9099 | 3.2 it/s
step    5050 | cos 0.5321 | thought 0.986 dec_ce 2.102 | 3.0 it/s
step    5100 | cos 0.5338 | thought 0.9398 dec_ce 1.9335 | 3.3 it/s
step    5150 | cos 0.5313 | thought 0.8972 dec_ce 1.9887 | 3.2 it/s
step    5200 | cos 0.5318 | thought 0.9095 dec_ce 1.9369 | 3.2 it/s
step    5250 | cos 0.5335 | thought 0.9434 dec_ce 1.9745 | 3.2 it/s
step    5300 | cos 0.5335 | thought 0.9313 dec_ce 1.9419 | 3.2 it/s
step    5350 | cos 0.5351 | thought 0.9498 dec_ce 2.0099 | 3.2 it/s
step    5400 | cos 0.5379 | thought 0.9646 dec_ce 2.0223 | 3.2 it/s
step    5450 | cos 0.5337 | thought 0.9702 dec_ce 2.0468 | 3.2 it/s
step    5500 | cos 0.5351 | thought 0.9299 dec_ce 1.9049 | 3.2 it/s
step    5550 | cos 0.5326 | thought 0.9648 dec_ce 2.1067 | 3.1 it/s
step    5600 | cos 0.5306 | thought 0.9598 dec_ce 2.0053 | 3.2 it/s
